Frame,Bounce,Ball_Frame_X,Ball_Frame_Y,Impact_Frame,Player1_Ball_Dist,Player2_Ball_Dist,Distance_Diff,Player1_RWrist_X,Player1_RWrist_Y,Player1_LWrist_X,Player1_LWrist_Y,Player1_Position_X,Player1_Position_Y,Player2_RWrist_X,Player2_RWrist_Y,Player2_LWrist_X,Player2_LWrist_Y,Player2_Position_X,Player2_Position_Y
1,0,1061.8549803162214,373.43852403371943,False,372.70337516599426,373.2110243648759,-0.5076491988816656,711.6683476385778,245.8566751914293,729.3293275036401,245.06578759540923,719.8399480266028,247.1746256827888,1078.0896394748331,746.2962778078413,1069.499029844,618.381872545849,1064.7253098205442,758.7069380462133
2,0,1054.5,394.5,False,371.57624530814144,303.36251441057516,68.21373089756628,713.6944527048025,246.44431787291305,727.7966313331942,245.2579300462721,720.7619412857862,247.024648690798,1074.35104828119,697.2123238846484,1071.266008364456,657.2910483799508,1065.1334289708886,755.8681089871774
3,0,1051.5,400.5,False,370.24799647057023,230.92468932503542,139.3233071455348,714.5353979005012,247.07759022099208,727.6999112256907,246.31749440235524,721.6769863105646,247.968610124968,1072.6038225229736,630.4583458254624,1071.4887752731102,668.3997823143617,1067.4214815211285,753.5462333570955
4,0,1048.5,403.5,False,368.1047305291343,190.81695278354843,177.28777774558588,714.9745940081085,247.737693276356,729.0133133260998,247.47474508723357,722.8031317685086,249.3351172293924,1068.8488102493498,593.2288470186727,1071.0421640664213,635.3787037393508,1070.0052057572816,748.1542471672635
5,0,1042.5,412.5,False,365.3231468473875,203.53658388804868,161.7865629593388,716.3161052446881,247.9853549840215,731.0968849657254,247.24756767249735,724.3094941666409,249.8137016708281,1059.9457821879143,615.2875382380992,1067.920605742711,604.1757040426508,1071.2745238823493,736.6440728599189
6,0,1036.5,424.5,False,364.02791060719653,227.54394394399117,136.48396666320536,718.5127931359516,247.2982619389924,733.2896369071337,245.38398637176687,726.0538111495641,249.04596328412225,1053.0238791874797,651.443181968932,1054.7660562530536,611.4804159935562,1072.1853020649503,721.6284903229102
7,0,1033.5,436.5,False,366.00366412596065,213.457087049229,152.54657707673167,720.9644642094357,246.02632459645784,734.8426256271691,243.04035950144336,727.8255218203259,247.7589895846943,1052.062982419511,649.1484039329594,1035.581207184537,622.3742521984549,1072.6883551357998,708.3693017021008
8,0,1027.5,451.5,False,367.89112168405126,159.58013648234063,208.31098520171062,723.1536987417185,244.8185873757566,735.6332958185072,241.30624492623932,729.5298347332648,246.8540745591704,1050.8232631903109,609.3665428578138,1030.1754668654478,609.215893993602,1070.5788225804235,699.9503469739742
9,0,1021.5,460.5,True,367.8166943690889,107.1853705470934,260.6313238219955,724.5544195460898,243.44599080990443,735.9575048270236,240.18573616223563,731.0848752098134,246.35090589766293,1049.261799899985,564.02770704324,1045.502450728437,604.5775151111623,1065.8606274818435,696.3086853876223
10,0,1000.5,445.5,False,342.4388334824614,107.1153580651381,235.32347541732332,725.3443171046283,241.65274137921165,736.8056384864717,239.1401952743797,732.4853823891867,245.84967556147288,1052.1819361589846,539.3225847452594,1063.2125828536189,631.7246411965599,1061.6749200293882,694.6445393336292
11,0,973.5,421.5,False,306.4958583097424,151.52777321187455,154.96808509786786,726.2571898164831,240.36274824436825,739.6298689446588,238.6115219898611,733.9335751249874,245.67136743438385,1058.226480948213,547.1267864775716,1064.574063690835,656.3329889169628,1059.9403937070877,692.0206754284129
12,0,952.3346151507862,409.93211839493085,False,281.29740390843784,205.42997013151734,75.8674337769205,727.4716918382273,240.920594631144,743.4642417286541,239.97574256950375,735.6717963246616,246.2488136697648,1062.926213212794,583.0533795569482,1051.5292065015487,657.0381911746425,1059.8119012972822,688.6366988847706
13,0,937.5,406.5,False,265.01803567505004,253.33330399926118,11.684731675788868,728.5549587195441,243.47690667463505,745.81312949255,243.18392335771767,737.5685020794227,247.3459954411516,1062.8544293175278,626.6454745518495,1037.8688150754997,661.1315920316133,1060.24628195031,686.5073711383984
14,0,925.5,403.5,False,250.94472478587284,285.88328041802635,-34.93855563215351,729.4329852206283,246.8763089013571,747.0011943965355,246.67834480809324,739.2190395921086,248.96467058522157,1057.8827225194686,656.8852103042032,1030.1527097057683,684.5372083186453,1060.9344402240029,687.152729386125
15,0,910.5,403.5,False,236.37979677317472,305.3321523967531,-68.95235562357837,730.576174743084,250.19368758121487,749.0857081468491,249.9491863122257,740.6112927755499,251.684629981242,1050.8447761149462,674.666124551869,1025.3925620603763,711.5182070327784,1061.3633926678906,691.7626811359974
16,0,895.5,403.5,False,221.54447745421328,325.9783122363547,-104.43383478214145,732.6392323529848,253.30570632715325,751.9372231882309,253.28773112436332,742.0020593177297,255.27754772053717,1044.0262191627662,693.6755025319613,1020.9502933748817,727.1671555140331,1061.2101869723845,700.3124584420109
17,0,880.5,406.5,False,208.41037548823755,344.29650137623,-135.88612588799248,736.1278323106887,256.1951038460904,753.844210476467,256.27032386139496,743.2128312526545,258.16893671424896,1038.2034421736707,712.5550688789324,1018.1858889722056,730.903503964091,1060.6576951667112,710.4237093815029
18,0,865.5,412.5,False,198.36300557640982,350.6008683088844,-152.23786273247458,740.1023132060599,258.80126178775674,754.2228097189357,258.4106389607228,743.7424464951416,259.14477340466703,1033.3075644361163,720.3337053945886,1017.8854859496216,728.8061234519446,1059.2189221288286,718.7558195281599
