Frame,Ball_X,Wrist_Y,Player
9,1021.5,817.4512535932888,2
30,757.5,285.7465473182406,1
56,637.5,876.1881423756793,2
89,1071.1947619014957,295.0884741591492,1
117,403.5,934.9731896795145,2
169,766.5,293.8061914182191,1
193,775.5,915.0820648547875,2
223,1008.0516105122532,297.4928903099922,1
253,703.5,900.4679685495377,2
285,1217.2077326597787,281.08007597016206,1
313,487.0509263823812,906.2570060051914,2
347,808.5,284.72147542160405,1
372,1414.5,913.2452690587738,2
399,727.5,288.3592057959139,1
431,618.7779725157363,940.1599056412301,2
490,1405.5,304.7695400373609,1
