CameraRate,NumMarkers,NumFrames,Time,Frame,CHip_x,RHip_x,RKnee_x,RAnkle_x,RBigToe_x,RSmallToe_x,RHeel_x,LHip_x,LKnee_x,LAnkle_x,LBigToe_x,LSmallToe_x,LHeel_x,Neck_x,X_Head,Nose_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,CHip_y,YRHip_y,RKnee_y,RAnkle_y,RBigToe_y,RSmallToe_y,RHeel_y,LHip_y,LKnee_y,LAnkle_y,LBigToe_y,LSmallToe_y,LHeel_y,YNeck_y,Y_Head,Nose_y,YRShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,YLWrist_y,CHip_z,RHip_z,RKnee_z,RAnkle_z,RBigToe_z,RSmallToe_z,RHeel_z,LHip_z,LKnee_z,LAnkle_z,LBigToe_z,LSmallToe_z,LHeel_z,Neck_z,Z_Head,Nose_z,RShoulder_z,RElbow_z,RWrist_z,LShoulder_z,ZLElbow_z,LWrist_z
25.0,22.0,499.0,0.0,1.0,11.99816355527286,11.870604201866554,11.73667757227735,11.650819183351048,11.57663253692384,11.545741078642058,11.664383016770941,12.129840027292316,12.325419237027283,12.490333577250711,12.499829793917318,12.565655325885247,12.495107365082104,11.942520689675789,11.909837268565262,11.933023711249495,11.771615329012858,11.676461710338,11.861788721618247,12.122946765353515,12.190261495296472,12.156182287004032,0.7732896258745129,0.7901385676676559,0.3850126168565035,0.028511222597254793,-0.06421265900470127,-0.042413842426761036,-0.037338699646283405,0.8048124862420246,0.42355486161256006,0.024539154242532266,-0.09847237164300168,-0.08051375580519815,-0.04136085866800905,1.278415467394252,1.6122615225025148,1.4014255736772558,1.1895310025673267,0.9208790672446703,0.7944818478931418,1.2398942197404403,0.9985458763110848,0.8093589497205702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.04,2.0,12.013521997808189,11.884166809114827,11.73980895027809,11.655359208429791,11.575391899974665,11.547376233035212,11.664622831899068,12.146366666795604,12.31823514056235,12.419641489419144,12.435829402942504,12.489244921856939,12.414411276441559,11.96186320381563,11.933151435598745,11.949315723694394,11.781826237793787,11.707921945027952,11.895627109628428,12.151567860935483,12.205314515433429,12.13064536284887,0.7758784697688764,0.7671775350268532,0.36792872472156396,0.03273452428917814,-0.06420984580967883,-0.04170719643021411,-0.028358881621909617,0.7883280190311392,0.42186660330172226,0.023962495674521217,-0.11353183604294215,-0.08857911408894165,-0.0415200366497355,1.2771305796239731,1.5784768572648844,1.4011472370601177,1.1894676250294576,0.9175490836330106,0.7848779231041787,1.2280434139408396,0.9866015370747393,0.8060086179295243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.08,3.0,12.028869300803578,11.89931112225584,11.74688014412253,11.657652834883677,11.57070455648457,11.545818735281843,11.665192631084798,12.161716588552698,12.311189959919698,12.374589290793313,12.401590326862294,12.450122285202186,12.360572040888687,11.980824965802684,11.953584545166898,11.966215352008087,11.801204895709779,11.734044073463732,11.909709174594479,12.174426409684282,12.226258151213992,12.12913412719238,0.7602272336285195,0.7406413286835941,0.35483362559450365,0.032471875881384504,-0.06414806670208184,-0.04008949910550559,-0.027415089523023968,0.7620711106627003,0.40715948896899645,0.009712446165210257,-0.12413028601189399,-0.09860521638128085,-0.05615911765892633,1.2687802111995574,1.556925757546335,1.3949097181419563,1.1770383960403885,0.9060078913968871,0.774399764285617,1.2140111107958906,0.9672917203346642,0.7883330694739897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.12,4.0,12.047776819906254,11.918158834816456,11.761402392010714,11.659786557368458,11.566944754579398,11.543155953386812,11.665788024951896,12.18010623902873,12.309392256208472,12.3622068511357,12.399572564033216,12.446117076314868,12.345411026499345,12.004387800372424,11.976515542426707,11.986840322221981,11.82872082062575,11.757542373648777,11.91709526890918,12.195938642937081,12.257820882352815,12.15114382852901,0.7375510306292912,0.7256926447411811,0.35244409508032215,0.02888373573903856,-0.061719219349863366,-0.03609791727117352,-0.030905130206589807,0.7424768474617749,0.3871827188269295,-0.010572452295727383,-0.1284186172229546,-0.10753015461428912,-0.0746363543104106,1.2579080619690794,1.5503203718358287,1.3845067698945845,1.1593119637982534,0.8902013203151453,0.7634357973912098,1.200935440335508,0.9437532464217037,0.7691637572512781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.16,5.0,12.072938871272283,11.94295814941621,11.785111164133369,11.662183960019359,11.56308003836195,11.538564943078192,11.664507097759083,12.202500382533877,12.318006578389548,12.367961187408765,12.406439960629836,12.451647994310159,12.353428584241463,12.034975917836215,12.006652105079226,12.016372155329211,11.86009587323513,11.784595612236595,11.939486580656506,12.224268014227167,12.296887323056975,12.185862387631865,0.7297157021836714,0.7268737348168283,0.35988481463558225,0.03210431008845934,-0.05923623524041656,-0.03103899574211759,-0.027669755583824514,0.7408303743345778,0.37713159530256724,-0.019947800696239436,-0.12862579049704995,-0.11137923352010924,-0.08058805662530796,1.2558807176897282,1.5527897320921706,1.3824118928172302,1.1540674259062313,0.8837258383626156,0.7594349020939691,1.1982144326067015,0.9333431070626174,0.7731509623625672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.2,6.0,12.10194914626517,11.973475639818075,11.816426970822768,11.659577587218408,11.551850417438947,11.527287000273871,11.655510081821815,12.22581350030825,12.333547125645362,12.376035466798298,12.406186510711612,12.453479633288039,12.362350057539688,12.069341546080295,12.041169857048613,12.054580677303072,11.893674534773828,11.815893246784311,11.976047153699838,12.260174062132283,12.336417021208023,12.22224472179158,0.742683295772219,0.7331128420786531,0.3692439213490984,0.04430780604840218,-0.06271977977344276,-0.029315469225670444,-0.016362006461738077,0.7483563263217148,0.3758765488276469,-0.016305680540998842,-0.12929785493718796,-0.11209223282551106,-0.07598128156907598,1.269127987770203,1.5630416134820795,1.3986526360823077,1.1688494021223843,0.8951140360092676,0.7711011834553515,1.21253441079059,0.9475054031872939,0.8044326487868612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.24,7.0,12.131366467207508,12.00698395379987,11.852791396444719,11.654805260210116,11.548138404397411,11.522970936069138,11.64341564205735,12.251661127118465,12.347592719798897,12.381407379285934,12.406406938935568,12.456347075904308,12.363137142166485,12.104426033603602,12.075332474950532,12.093863611215392,11.928741931727185,11.847462107509047,12.016803192153734,12.298147880180437,12.37523366368021,12.24791405316032,0.764310807078204,0.7442673441734982,0.3734500714157001,0.05502116240777039,-0.07047085979343154,-0.03303405521623426,-0.0021455548940078352,0.7598882453787504,0.37320594236709803,-0.01441126061289254,-0.13212063177705666,-0.11326407155188568,-0.07618307997637708,1.2936896749236906,1.585370057815116,1.4274280812409414,1.1958556133261482,0.9201881397002543,0.7925430766979686,1.2399159635166122,0.9751113626104879,0.8436569758710756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.28,8.0,12.159696606281134,12.040350061276694,11.893435789013212,11.670640285885254,11.589994171299095,11.55859824151654,11.655152881920163,12.281704162458013,12.35901166958293,12.384087397089807,12.415070711979565,12.46574122227397,12.358609774100776,12.136586489565572,12.10608271638081,12.12548398354065,11.962575756129448,11.876019773480127,12.053189656184262,12.332883900956343,12.413926172871319,12.260931255424302,0.7795617401073845,0.7613249322102886,0.36891799909393236,0.06879742736062489,-0.07187670336225,-0.03634597628895552,0.026484592924800328,0.7733512139695141,0.3661500858591808,-0.022745080154231746,-0.13620454272651836,-0.11646027922650942,-0.08807764155361941,1.322043960686306,1.6141380805141776,1.4561914165471668,1.2234570056844334,0.9509699647098395,0.8128894304323014,1.2690368076927887,0.9985648165074438,0.8726458355300635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.32,9.0,12.185576315533767,12.069759563736195,11.936329240570505,11.722460652511813,11.680790662060344,11.637886029733956,11.706678529481318,12.309678789087691,12.374864302028477,12.388164260145581,12.423786481230028,12.475778924392285,12.361479310152927,12.162229320720332,12.131881827475627,12.14621174845235,11.989428486729041,11.89861615875211,12.076413104460581,12.36216164893085,12.447083273427621,12.266229679796256,0.7881000017537587,0.7762955578650388,0.3611809114408753,0.09760000600956348,-0.05952689652282173,-0.028038844927478428,0.07625591223602407,0.7842197625646893,0.3622259465801118,-0.028209309076310113,-0.1422804694634645,-0.12464543289049917,-0.0956485902221524,1.3471453067829253,1.6378209378530164,1.4775472681176713,1.2467871019443724,0.9825016639826474,0.8359090348188811,1.2901034276689245,1.013107521717759,0.891359295264898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.36,10.0,12.208879608832136,12.093191390984067,11.978090893496733,11.790688233064184,11.771476099557894,11.719399783168031,11.776075822838575,12.331455615445696,12.403752220652434,12.40480413156697,12.421960158046629,12.477977534610094,12.385252956379277,12.18343543486309,12.15397692838038,12.16242320425835,12.007364896907507,11.91559598828053,12.089411763910098,12.38613432142732,12.469580404034371,12.280270905729473,0.7965911535081791,0.786522916380558,0.36012157200999784,0.12505927767361266,-0.04088500629024921,-0.009712160973644291,0.11507574918242869,0.792407419648765,0.370028611174547,-0.014935213852834068,-0.14842689407551518,-0.13568481459182732,-0.07868624224786551,1.3621469390895922,1.6529144900912904,1.4896167806957028,1.26350879700739,1.0076578777852996,0.8658837856744095,1.3001118918295274,1.0237701279909905,0.9088729531877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
