CameraRate,NumMarkers,NumFrames,Time,Frame,CHip_x,RHip_x,RKnee_x,RAnkle_x,RBigToe_x,RSmallToe_x,RHeel_x,LHip_x,LKnee_x,LAnkle_x,LBigToe_x,LSmallToe_x,LHeel_x,Neck_x,X_Head,Nose_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,CHip_y,YRHip_y,RKnee_y,RAnkle_y,RBigToe_y,RSmallToe_y,RHeel_y,LHip_y,LKnee_y,LAnkle_y,LBigToe_y,LSmallToe_y,LHeel_y,YNeck_y,Y_Head,Nose_y,YRShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,YLWrist_y,CHip_z,RHip_z,RKnee_z,RAnkle_z,RBigToe_z,RSmallToe_z,RHeel_z,LHip_z,LKnee_z,LAnkle_z,LBigToe_z,LSmallToe_z,LHeel_z,Neck_z,Z_Head,Nose_z,RShoulder_z,RElbow_z,RWrist_z,LShoulder_z,ZLElbow_z,LWrist_z
25.0,22.0,499.0,0.0,1.0,17.797552268974137,17.877224487807972,18.37566744292302,17.59895248220716,17.744575484668687,17.712744524289793,17.392312574432562,17.670216519485876,18.136277089467658,17.901461980870774,18.188509749058596,18.077094667858393,17.53602116040233,17.696209026878876,17.453892833209572,17.709477848570643,17.71248420333034,17.82837492398385,18.019193658781177,17.61607501187779,17.83507024905018,17.863714729610358,-7.722560275427004,-7.73801692301573,-8.610583690621727,-9.172132852658828,-9.585133804956918,-9.585317216406986,-9.221069791532162,-7.72328934919303,-8.500540071731958,-9.186316497531722,-9.280169631715479,-9.28080992947571,-9.299830931226706,-6.704463392668702,-6.085088269914855,-6.242792596241476,-6.768037039547151,-7.547292367350081,-7.514356070847358,-6.609414050770666,-5.939636889556464,-5.3824404847467235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.04,2.0,17.804085286923282,17.912746338940423,18.345355851630636,17.61413401816261,17.740265340538794,17.714761713227766,17.41131004591176,17.673632440983692,18.063543273805045,17.91876719545752,18.18267064485172,18.114580344029786,17.73217335395327,17.66998744892444,17.392706173494823,17.626396732203006,17.708289481136838,17.853115773347767,17.95216018717376,17.59722717816367,17.798022800036993,17.896900711384607,-7.675188947495796,-7.673122723165246,-8.55755136053864,-9.158739128969899,-9.556516464490725,-9.541419266611847,-9.187498505249154,-7.675173248643808,-8.425869819780202,-9.13303973253823,-9.319196063973775,-9.275934047675463,-9.23084082023025,-6.666188397851648,-6.127709245757236,-6.260335037212175,-6.667545613160208,-6.280676138507453,-6.696329106539723,-6.673148673635668,-6.4094082864558,-6.031010425869004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.08,3.0,17.842012742181872,17.947800829962123,18.318973076506495,17.64111231108628,17.73308994639499,17.70379389607217,17.43148470940273,17.70964722567658,18.02492736704074,17.93552415498868,18.186278282268713,18.154903199596266,17.83058453292647,17.634462304596987,17.309214939606427,17.53401566300271,17.676531133514832,17.797891072353412,17.91663825667534,17.562756962904324,17.750819331746502,17.901678326141177,-7.636256922345546,-7.627228507824169,-8.503782152885547,-9.135799090927291,-9.534865391505127,-9.511055039199277,-9.167558262806898,-7.64073977573965,-8.377190371768938,-9.117551140314205,-9.347619920979039,-9.277414179242017,-9.224969366981217,-6.597279541172892,-6.082033014806674,-6.211102932532547,-6.5754341966772065,-6.075970139927003,-5.583496316398666,-6.670860743553352,-6.514748886524407,-6.216206847108844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.12,4.0,17.88457619127251,17.981571796623896,18.296439347923922,17.691060025833256,17.749135102003724,17.71229457734622,17.489397969834766,17.743593433128993,18.010611166641127,17.92943645721942,18.18016198205814,18.163698447065986,17.82955808092541,17.57625190157008,17.196812618219724,17.445657410824136,17.621722824915434,17.67796527315576,17.85046569369109,17.486819588520294,17.694710579218157,17.89107101482204,-7.546108138271117,-7.543737953119852,-8.41990886550204,-9.084823344785836,-9.49804290604847,-9.477126263454672,-9.142245068930837,-7.558528526030176,-8.309979160643946,-9.100620737919748,-9.359814290603566,-9.281595500626862,-9.233721842600616,-6.483713138949157,-5.9502781094263195,-6.084963981211927,-6.441659240909519,-6.3624615108833344,-4.963122200004817,-6.580644318127833,-6.084796275335004,-5.66568373301321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.16,5.0,17.90463833943642,18.020361132510175,18.26085419220807,17.771694359712196,17.82429528413263,17.80272130827495,17.615407746017304,17.74620119190776,17.97990297841437,17.886018894061742,18.133721957632524,18.09407483760203,17.788987695969016,17.49748041350728,17.073888511422474,17.349552798423822,17.578294805591234,17.603122877957976,17.704133049768103,17.391572751599885,17.58617438899296,17.836037162062837,-7.354075613913264,-7.366878893663419,-8.284318878304108,-9.014109288241844,-9.430915638730895,-9.418748865147373,-9.10023112932919,-7.376982807205687,-8.184559377573029,-9.033561777131483,-9.354010696554914,-9.282808049287322,-9.180356259259826,-6.322572107274199,-5.807526703797527,-5.9364122784780555,-6.275420148953543,-6.325844370137224,-5.331762574576198,-6.411785530732479,-5.6188724719719225,-5.145729791545204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.2,6.0,17.918386857263872,18.06674784403655,18.19758943996854,17.883149142471765,17.966993911429398,17.979792709581158,17.784542212699684,17.743998674204402,17.918857804964635,17.839884951718602,18.07509956370936,17.995019221769468,17.76829935863689,17.424352442739615,16.96171465084105,17.21635476588136,17.575119025653617,17.658481185512226,17.592181929125296,17.332770349313318,17.404966829331435,17.6174047893453,-7.103631162044849,-7.131179654540867,-8.110968628882716,-8.945098700033393,-9.328788304649974,-9.32472953338306,-9.054787189325394,-7.150871057515378,-8.026816381037806,-8.925537409860047,-9.297950840621107,-9.24678804864667,-9.069085934329532,-6.134438648162324,-5.714203879241591,-5.825240695801621,-6.121219449451994,-6.069763703233404,-5.935254119788086,-6.216653160499573,-5.521280716200838,-5.2687816020865545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.24,7.0,17.92550531678908,18.092280415714747,18.141022113289495,18.014259604044604,18.181388327500592,18.199734989186005,17.944351066084025,17.74190675810434,17.85982741161826,17.847148621055567,18.10156415612924,18.004788232097756,17.79945089851313,17.37326433206585,16.866475849216872,17.08240016437016,17.58712257057093,17.75885975203226,17.57594082017548,17.30470885315758,17.295723976865464,17.29857013476512,-6.882510381569516,-6.907340898794786,-7.923924035085457,-8.856265008822747,-9.170991815085111,-9.179594792999263,-8.987331778586292,-6.958394765359748,-7.882359833785433,-8.81022815180999,-9.139272242263845,-9.116931112285108,-8.95457160159972,-5.950052418904558,-5.619095737973025,-5.7195130059277375,-5.932604096555929,-5.732152272292586,-5.89708488561963,-6.0600355212018915,-5.520386388654488,-5.452252688746259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.28,8.0,17.889526295053212,18.066788212146975,18.147748946048395,18.16509840703045,18.460084542902074,18.45226369788751,18.095799798648837,17.709262568398074,17.830575895716798,17.91227259476586,18.22490752113141,18.130918230802454,17.875954302919062,17.323469891893527,16.80217930525555,17.02184856981432,17.568973203206426,17.75147500275151,17.55146253084335,17.253511254664065,17.35831295514609,17.207178340121104,-6.742341691149412,-6.744188158144786,-7.750386170486486,-8.718980576258515,-8.943004372967422,-8.975562480360706,-8.869748949379444,-6.820201977977335,-7.77314628055217,-8.696063281457388,-8.899107947487805,-8.905457310831995,-8.857366514847946,-5.768305735339102,-5.453697612868049,-5.543682228331027,-5.679786732345822,-5.273144153171763,-5.233914051136197,-5.948394706974923,-5.436285135317143,-5.233378658083815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.32,9.0,17.810509178673655,18.005793362984466,18.218535857779795,18.356776674011908,18.742846853925144,18.729711360119868,18.29709085381895,17.650746734156865,17.813544725060154,17.98407274805097,18.330946774372617,18.231604765882075,17.967616039162287,17.259117863284956,16.79647056755493,17.051801345878804,17.526048693375,17.655868679974567,17.521087749791175,17.175186708717924,17.452519545794566,17.46228788516351,-6.682075293796566,-6.668455188416005,-7.617872053421465,-8.555104643400465,-8.666824917947189,-8.733083692219411,-8.727415434781278,-6.747399903088374,-7.6940112599985,-8.57526152806524,-8.682172794878602,-8.709771143609291,-8.754423769734887,-5.594575325443188,-5.2746036479685205,-5.331375294910612,-5.441526265541987,-4.8677481641693765,-4.4781216618657504,-5.865765499297382,-5.526595894846637,-5.154575111783111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.36,10.0,17.74055974966084,17.94373759385149,18.30654592714011,18.584836512822594,18.981671504541747,18.989434605507284,18.55772157118301,17.597819719635922,17.78025878061046,18.009242928441452,18.34104776932322,18.231673677348354,18.02550337001005,17.204803240445855,16.83436890161976,17.113009958958177,17.482691556558752,17.59611840132074,17.567411697235165,17.111845077217307,17.454255152731985,17.760175205123975,-6.654729367988522,-6.636155298440408,-7.516530303402788,-8.397419128024184,-8.405228964091883,-8.501560994723548,-8.589749596239338,-6.71934609628097,-7.6216052454039565,-8.455623385777049,-8.551175689056343,-8.591009228318176,-8.632827816755483,-5.483816218185705,-5.1459458220066185,-5.193922945740319,-5.3042506663261815,-4.680807543167435,-4.065929587914989,-5.814811076207898,-5.827116064092515,-5.605508393320995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.4,11.0,17.711388075607513,17.905509405948525,18.39118429592132,18.807115245744914,19.194860889206492,19.208208419686553,18.80905948407842,17.57040608159498,17.736331976704363,17.96035997510771,18.24853778055183,18.136443684580914,17.99534805417999,17.164201325022646,16.85515798822043,17.108828191790835,17.443431759827707,17.6150334336447,17.668942061112922,17.064809685058254,17.38541174583992,17.785231275542387,-6.611147282665298,-6.57747589325193,-7.42239450022656,-8.261785081050105,-8.241648634005287,-8.344200112412892,-8.463166081301601,-6.680686700824639,-7.550640909380896,-8.357641266080734,-8.481220159101555,-8.522564585136859,-8.522507893246125,-5.4549465127641925,-5.06298210519079,-5.172686148261001,-5.277348871604347,-4.7372558078654246,-4.195471742661728,-5.799956574652627,-6.047976601659204,-6.015677093891037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.44,12.0,17.708921752153998,17.911683141626227,18.489303503666154,18.987334939356938,19.39053860159885,19.394243201873227,18.997225311550185,17.578389715812442,17.702402222781064,17.848672048465563,18.06796079450522,17.959977915477243,17.875070897441955,17.098097123669266,16.83264842128984,16.99675776345542,17.415704180351643,17.687660109058427,17.750741641451658,16.995058867643934,17.27483087725439,17.567796147823383,-6.554737985515844,-6.516246207858573,-7.342499006143546,-8.157786273436232,-8.21428583448824,-8.28892372470911,-8.357007626014527,-6.648507176696221,-7.510202323909907,-8.30116983605099,-8.442888947221586,-8.477284804022016,-8.46818701106413,-5.453154984264529,-5.041938046391337,-5.226701727718818,-5.310068983063303,-4.974147505651306,-4.7940318697042565,-5.8307112611874095,-6.188420155296613,-6.028683696281169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
