CameraRate,NumMarkers,NumFrames,Time,Frame,CHip_x,RHip_x,RKnee_x,RAnkle_x,RBigToe_x,RSmallToe_x,RHeel_x,LHip_x,LKnee_x,LAnkle_x,LBigToe_x,LSmallToe_x,LHeel_x,Neck_x,X_Head,Nose_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,CHip_y,YRHip_y,RKnee_y,RAnkle_y,RBigToe_y,RSmallToe_y,RHeel_y,LHip_y,LKnee_y,LAnkle_y,LBigToe_y,LSmallToe_y,LHeel_y,YNeck_y,Y_Head,Nose_y,YRShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,YLWrist_y,CHip_z,RHip_z,RKnee_z,RAnkle_z,RBigToe_z,RSmallToe_z,RHeel_z,LHip_z,LKnee_z,LAnkle_z,LBigToe_z,LSmallToe_z,LHeel_z,Neck_z,Z_Head,Nose_z,RShoulder_z,RElbow_z,RWrist_z,LShoulder_z,ZLElbow_z,LWrist_z
25.0,22.0,499.0,0.0,1.0,1327.641662437138,1322.119894343998,1319.9591904232361,1317.5584126850977,1315.6378359692637,1313.4771190486686,1317.0782555606468,1332.683283022269,1332.9233564621002,1332.4432051315116,1332.2031319746816,1334.8439670944822,1331.2428433490336,1328.8420652145933,1329.3222105689688,1329.322205346824,1319.2389755826853,1315.8778681948372,1321.6397357071621,1338.4451308726955,1340.3657440642803,1335.5642056249437,172.70628326197985,172.70628893109685,194.55331626719885,216.40033088875003,220.96185146250957,220.96182760096735,219.28127625084838,172.94637490880223,194.79339359598325,216.88050150957275,220.4816656284703,220.24159591307563,219.5213500346533,143.4168647641151,129.01220982619589,137.1748427611169,149.41878950833083,161.9028383679234,167.6646786655727,149.89894470688958,162.14292834375146,167.90475441169144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.04,2.0,1327.6812760172074,1321.953756143495,1320.0737203255892,1317.1130501759603,1315.7285008147064,1313.6207739986007,1317.258789576654,1332.649204091659,1332.5433069951102,1332.471594777804,1333.4303014928287,1335.3964040706246,1331.455225424961,1328.687262252859,1329.1306320395083,1329.159084409959,1318.8988747762319,1315.7230966895036,1322.8796946475275,1338.1491836768994,1339.4352499811616,1333.327522121684,173.58333096798768,174.15407645314946,195.36851445066463,217.00934444218797,221.65443325972916,221.44092704321142,219.50595936494588,174.41366937640103,195.51930129316443,217.47243106392392,221.35024627872582,221.29853426716312,220.24044366674332,143.1646814883269,129.50970994095843,137.20781531445485,149.3356085941859,162.3203635269993,167.72867946122352,149.6605942911197,162.52189659614697,167.5667144893867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.08,3.0,1327.6340252345726,1321.9181985649657,1320.061220072935,1316.906461011316,1315.8482024614013,1313.6600968863577,1317.3215715343877,1332.557352973473,1332.4488916243313,1332.410769909276,1333.737145233021,1335.6441904918893,1331.5034612721597,1328.6697605693166,1329.022404274603,1329.0156319626633,1318.7963879173699,1315.8323947222589,1323.3509114700125,1338.010603052002,1339.0748278612296,1332.477647839709,173.8799974899576,174.58465132237126,195.63155854346093,217.2992821271901,221.98160364906062,221.74538758251305,219.76297852695694,174.87236947766112,195.75223005668533,217.7405856828284,221.69827637845873,221.73079524367083,220.5654490010185,143.24491334095322,129.81144139532108,137.28085929795282,149.3718031835039,162.4324957777425,167.71554859481517,149.6358304669302,162.51706738948283,167.40808992881392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.12,4.0,1327.6121260642196,1321.9684350609136,1320.0140416422212,1317.0105493022884,1315.8329813102944,1313.6216613167583,1317.3020553839715,1332.5507105345014,1332.6822708749014,1332.3585459990531,1333.4913395273672,1335.7036895811507,1331.332789177921,1328.7561817358942,1329.0995003105133,1328.9538880092018,1318.9122783226508,1316.0015544338696,1323.050415570044,1338.1202559904364,1339.3022985458354,1332.8535437959222,173.7145845417619,174.2867301311597,195.55667253228282,217.34403759880985,222.00619051388816,221.84880200184375,220.0327256201513,174.63254044674457,195.62621708154242,217.7561547873746,221.6154751575615,221.62019041179545,220.5982084065937,143.48538160101583,129.80424673319925,137.3150272356016,149.3806682475193,162.21978517434667,167.6696513000462,149.65781484995512,162.13831872256344,167.3659612267376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.16,5.0,1327.6505714630396,1321.954810751237,1319.9692732990814,1317.137181750853,1315.6454383428809,1313.5744687739239,1317.2425922606803,1332.6413467404907,1332.893402071074,1332.3806431535145,1333.4138548822752,1335.7075204883208,1331.1759925199885,1328.771804750092,1329.2074631107416,1328.974969731105,1319.0143781076858,1316.0426475637075,1322.7546602543425,1338.2598186195592,1339.5623899520688,1333.2656217858628,173.58320302406503,174.077593153628,195.49457915387336,217.35233864274247,221.9296302051314,221.8236137179149,220.08577225977342,174.45612008051813,195.4852279481691,217.68501528278256,221.50779788401226,221.4242162398608,220.5690440409983,143.5380144625377,129.6649191296172,137.31333675286083,149.30699341896081,162.03581522446942,167.72298804545412,149.583727343373,161.8371532591205,167.36996788167164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.2,6.0,1327.6267603935994,1321.8440864834536,1319.876459723521,1317.015337700257,1315.6442802572396,1313.57848121496,1317.167363525733,1332.6690029100628,1332.7926771086782,1332.3823561248187,1333.556062194664,1335.6651052766017,1331.2436484284651,1328.6440227146359,1329.11712157002,1328.9845807422614,1318.9264165654877,1315.9995209517688,1322.9314370082243,1338.1521467538962,1339.4418978384433,1333.084267513073,173.70141543910896,174.23339219939163,195.5124646390414,217.36432207707702,221.90661616995448,221.84844806540275,219.902318316989,174.5677661178178,195.49310231060377,217.58295167144246,221.561499281442,221.43564410828063,220.54160888640394,143.4144854270805,129.69358887961835,137.37632372044777,149.3331820766962,162.18208483979288,167.74962193589917,149.52233679714982,161.98226986089512,167.37308010629644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.24,7.0,1327.5736106547188,1321.7938699711835,1319.823551566135,1316.8913125663842,1315.9363236125334,1313.6227756484095,1317.146933603163,1332.6380558432807,1332.648960175221,1332.3561633194893,1333.612777659988,1335.6631246840561,1331.3537615978962,1328.5460081076997,1329.0027204805122,1328.978210754301,1318.7805506027885,1315.9597506453597,1323.183865403895,1337.9961765069468,1339.2685568479324,1332.7950445341307,173.88071904467427,174.5149162618426,195.62068719384078,217.46250675291154,221.99421570513098,221.99189449916,219.90514747725356,174.8162730144305,195.704479794788,217.5863648030868,221.64911376669653,221.56256693661834,220.53321845082954,143.37084247197598,129.83107768930196,137.4609772030637,149.47805048088625,162.42821493236053,167.62698582498655,149.54059109633468,162.25643624815382,167.34093385490692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.28,8.0,1327.627944774536,1321.90447439411,1319.8972122503674,1317.0559797352792,1316.0580414574342,1313.644468315188,1317.2063477186073,1332.6770024434923,1332.793014489199,1332.4091196191457,1333.50442235599,1335.7036911699913,1331.2848681381804,1328.6250796212112,1329.092695568375,1329.0469156301824,1318.8081849418372,1316.0105202784912,1323.1658751742484,1338.1062083317358,1339.4567002920694,1332.9094589389892,173.9552805492798,174.69605208946865,195.79255541001595,217.72285978693026,222.0582330854075,222.08140063810998,220.23970693183094,175.02164103331708,195.99964042625325,217.76796690764974,221.62092878944028,221.54386260183054,220.5247566076028,143.42765005764167,129.82278587342554,137.41010706616515,149.5117882843772,162.36109485210835,167.67668242847782,149.5638428445425,162.1615113180306,167.39227428134475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.32,9.0,1327.72973220717,1322.017038246636,1319.9723839899007,1317.2431054743615,1315.879352866028,1313.656496063945,1317.2679285903796,1332.765476109596,1332.990662112013,1332.5046785145807,1333.4408412078383,1335.675484862517,1331.1634244976326,1328.7472370150438,1329.1764992814926,1329.1482023161445,1318.9183518701723,1316.0666281870415,1323.1322329649047,1338.2876761524303,1339.6765994257182,1333.1082648017498,173.96086337811457,174.76585392710322,195.8835108451655,217.84748019462117,222.05138290972917,222.04655838974108,220.4410604827686,175.05616647706472,196.08098302268917,217.89449788451668,221.55282356840758,221.4551345818449,220.49384346313533,143.40092507048772,129.72327255983197,137.24841153850576,149.39363882259332,162.11529027478258,167.98320684128566,149.5686258990355,161.94567450018963,167.57613592090942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,22.0,499.0,0.36,10.0,1327.7280988901518,1321.9875659215302,1319.8997149860036,1317.1292563944462,1315.8527384249146,1313.7035327402664,1317.276320009424,1332.7845686141445,1332.9158648139226,1332.5130853242963,1333.5146872775608,1335.5998954517227,1331.183430877417,1328.7291238104385,1329.0669552004451,1329.1548941123378,1318.882829841838,1315.9856311421752,1323.3010893609414,1338.236393444889,1339.491072059468,1332.9648587819047,173.92930647333372,174.7398899514964,195.80133445475957,217.64186151485322,222.12759475236214,222.04318216638313,220.2768722950143,174.93477585448446,195.87462761004085,217.80820620534604,221.58047319662285,221.53635923922408,220.51362964409037,143.34179414753035,129.70938958167403,137.17932535030562,149.3472770850815,162.15806565590566,168.0751134823036,149.62842355238337,162.1051286184616,167.70001944687974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
